Country,ISO3,Year,Total fertility rate
Armenia,ARM,1991,2.643
Armenia,ARM,1992,2.499
Armenia,ARM,1993,2.286
Armenia,ARM,1994,2.084
Armenia,ARM,1995,2.067
Armenia,ARM,1996,2.06
Armenia,ARM,1997,1.9
Armenia,ARM,1998,1.81
Armenia,ARM,1999,1.534
Armenia,ARM,2000,1.3
Armenia,ARM,2001,1.2
Armenia,ARM,2002,1.2
Armenia,ARM,2003,1.3
Armenia,ARM,2004,1.4
Armenia,ARM,2005,1.3
Armenia,ARM,2006,1.3
Armenia,ARM,2007,1.4
Armenia,ARM,2008,1.4
Armenia,ARM,2009,1.5
Armenia,ARM,2010,1.5
Armenia,ARM,2011,1.5
Armenia,ARM,2012,1.6
Armenia,ARM,2013,1.6
Armenia,ARM,2014,1.7
Armenia,ARM,2015,1.6
Armenia,ARM,2016,1.6
Armenia,ARM,2017,1.6
Armenia,ARM,2018,1.6
Armenia,ARM,2019,1.6
Armenia,ARM,2020,1.7
Armenia,ARM,2021,1.7
Armenia,ARM,2022,1.7
Armenia,ARM,2023,1.9
Azerbaijan,AZE,1991,2.87
Azerbaijan,AZE,1992,2.74
Azerbaijan,AZE,1993,2.7
Azerbaijan,AZE,1994,2.52
Azerbaijan,AZE,1995,2.29
Azerbaijan,AZE,1996,2.06
Azerbaijan,AZE,1997,2.07
Azerbaijan,AZE,1998,2.0
Azerbaijan,AZE,1999,2.07
Azerbaijan,AZE,2000,2.0
Azerbaijan,AZE,2001,1.8
Azerbaijan,AZE,2002,1.8
Azerbaijan,AZE,2003,1.9
Azerbaijan,AZE,2004,2.0535
Azerbaijan,AZE,2005,2.0
Azerbaijan,AZE,2006,1.97
Azerbaijan,AZE,2007,1.97
Azerbaijan,AZE,2008,1.9
Azerbaijan,AZE,2009,1.82
Azerbaijan,AZE,2010,1.92
Azerbaijan,AZE,2011,1.96
Azerbaijan,AZE,2012,2.0
Azerbaijan,AZE,2013,1.98
Azerbaijan,AZE,2014,1.97
Azerbaijan,AZE,2015,1.94
Azerbaijan,AZE,2016,1.9
Azerbaijan,AZE,2017,1.75
Azerbaijan,AZE,2018,1.73
Azerbaijan,AZE,2019,1.81
Azerbaijan,AZE,2020,1.7
Azerbaijan,AZE,2021,1.52
Azerbaijan,AZE,2022,1.67
Azerbaijan,AZE,2023,1.55
Belarus,BLR,1991,1.805
Belarus,BLR,1992,1.764
Belarus,BLR,1993,1.623
Belarus,BLR,1994,1.533
Belarus,BLR,1995,1.406
Belarus,BLR,1996,1.335
Belarus,BLR,1997,1.25
Belarus,BLR,1998,1.3
Belarus,BLR,1999,1.31
Belarus,BLR,2000,1.317
Belarus,BLR,2001,1.286
Belarus,BLR,2002,1.24
Belarus,BLR,2003,1.232
Belarus,BLR,2004,1.233
Belarus,BLR,2005,1.252
Belarus,BLR,2006,1.335
Belarus,BLR,2007,1.429
Belarus,BLR,2008,1.488
Belarus,BLR,2009,1.509
Belarus,BLR,2010,1.494
Belarus,BLR,2011,1.515
Belarus,BLR,2012,1.62
Belarus,BLR,2013,1.668
Belarus,BLR,2014,1.696
Belarus,BLR,2015,1.724
Belarus,BLR,2016,1.733
Belarus,BLR,2017,1.541
Belarus,BLR,2018,1.448
Belarus,BLR,2019,1.382
Belarus,BLR,2020,1.369
Belarus,BLR,2021,1.371
Belarus,BLR,2022,1.326
Belarus,BLR,2023,1.208
Estonia,EST,1991,1.8
Estonia,EST,1992,1.71
Estonia,EST,1993,1.49
Estonia,EST,1994,1.42
Estonia,EST,1995,1.38
Estonia,EST,1996,1.37
Estonia,EST,1997,1.32
Estonia,EST,1998,1.28
Estonia,EST,1999,1.3
Estonia,EST,2000,1.36
Estonia,EST,2001,1.32
Estonia,EST,2002,1.36
Estonia,EST,2003,1.37
Estonia,EST,2004,1.47
Estonia,EST,2005,1.52
Estonia,EST,2006,1.58
Estonia,EST,2007,1.69
Estonia,EST,2008,1.72
Estonia,EST,2009,1.7
Estonia,EST,2010,1.72
Estonia,EST,2011,1.61
Estonia,EST,2012,1.56
Estonia,EST,2013,1.52
Estonia,EST,2014,1.54
Estonia,EST,2015,1.58
Estonia,EST,2016,1.6
Estonia,EST,2017,1.59
Estonia,EST,2018,1.67
Estonia,EST,2019,1.66
Estonia,EST,2020,1.58
Estonia,EST,2021,1.61
Estonia,EST,2022,1.41
Estonia,EST,2023,1.31
Kazakhstan,KAZ,1991,2.677
Kazakhstan,KAZ,1992,2.584
Kazakhstan,KAZ,1993,2.483
Kazakhstan,KAZ,1994,2.378
Kazakhstan,KAZ,1995,2.253
Kazakhstan,KAZ,1996,2.084
Kazakhstan,KAZ,1997,1.97
Kazakhstan,KAZ,1998,1.938
Kazakhstan,KAZ,1999,1.902
Kazakhstan,KAZ,2000,1.898
Kazakhstan,KAZ,2001,1.906
Kazakhstan,KAZ,2002,1.956
Kazakhstan,KAZ,2003,2.075
Kazakhstan,KAZ,2004,2.201
Kazakhstan,KAZ,2005,2.274
Kazakhstan,KAZ,2006,2.38
Kazakhstan,KAZ,2007,2.49
Kazakhstan,KAZ,2008,2.616
Kazakhstan,KAZ,2009,2.58
Kazakhstan,KAZ,2010,2.61
Kazakhstan,KAZ,2011,2.605
Kazakhstan,KAZ,2012,2.64
Kazakhstan,KAZ,2013,2.67
Kazakhstan,KAZ,2014,2.76
Kazakhstan,KAZ,2015,2.755
Kazakhstan,KAZ,2016,2.795
Kazakhstan,KAZ,2017,2.745
Kazakhstan,KAZ,2018,2.845
Kazakhstan,KAZ,2019,2.89
Kazakhstan,KAZ,2020,3.13
Kazakhstan,KAZ,2021,3.32
Kazakhstan,KAZ,2022,3.05
Kazakhstan,KAZ,2023,3.012
Kyrgyz Republic,KGZ,1991,3.58
Kyrgyz Republic,KGZ,1992,3.52
Kyrgyz Republic,KGZ,1993,3.2
Kyrgyz Republic,KGZ,1994,2.9
Kyrgyz Republic,KGZ,1995,3.1
Kyrgyz Republic,KGZ,1996,2.8
Kyrgyz Republic,KGZ,1997,2.6
Kyrgyz Republic,KGZ,1998,2.7
Kyrgyz Republic,KGZ,1999,2.6
Kyrgyz Republic,KGZ,2000,2.4
Kyrgyz Republic,KGZ,2001,2.4
Kyrgyz Republic,KGZ,2002,2.4
Kyrgyz Republic,KGZ,2003,2.5
Kyrgyz Republic,KGZ,2004,2.6
Kyrgyz Republic,KGZ,2005,2.5
Kyrgyz Republic,KGZ,2006,2.7
Kyrgyz Republic,KGZ,2007,2.7
Kyrgyz Republic,KGZ,2008,2.8
Kyrgyz Republic,KGZ,2009,2.9
Kyrgyz Republic,KGZ,2010,3.1
Kyrgyz Republic,KGZ,2011,3.1
Kyrgyz Republic,KGZ,2012,3.2
