	muslim		
Region	Non-Muslim	Muslim	Total
	No.	No.	No.
Akmolinskaya	300.0	346.0	646.0
Aktubinskaya	220.0	431.0	651.0
Almatinskaya	464.0	1,181.0	1,645.0
Atyrauskaya	94.0	385.0	479.0
West-Kazakhstanskaya	183.0	368.0	551.0
Zhambylskaya	176.0	651.0	827.0
Karagandinskaya	576.0	562.0	1,138.0
Kostanaiskaya	502.0	314.0	816.0
Kyzylordinskaya	125.0	472.0	597.0
Mangistauskaya	267.0	187.0	454.0
South-Kazakhstanskaya	240.0	1,774.0	2,014.0
Pavlodarskaya	328.0	318.0	646.0
North-Kazakhstanskaya	303.0	142.0	445.0
East-Kazakhstanskaya	702.0	495.0	1,197.0
Astana	242.0	567.0	809.0
Almaty	411.0	888.0	1,299.0
Total	5,133.0	9,081.0	14,214.0

