	muslim		
family_support	Non-Muslim	Muslim	Total
	No.	No.	No.
1	6.0	24.0	30.0
1.166667	1.0	1.0	2.0
1.333333	1.0	10.0	11.0
1.5	1.0	5.0	6.0
1.666667	3.0	12.0	15.0
1.833333	2.0	10.0	12.0
2	5.0	25.0	30.0
2.166667	6.0	11.0	17.0
2.333333	4.0	22.0	26.0
2.5	9.0	29.0	38.0
2.666667	23.0	35.0	58.0
2.833333	27.0	44.0	71.0
3	134.0	277.0	411.0
3.166667	71.0	77.0	148.0
3.333333	82.0	146.0	228.0
3.5	155.0	246.0	401.0
3.666667	184.0	281.0	465.0
3.833333	195.0	326.0	521.0
4	563.0	996.0	1,559.0
4.166667	320.0	580.0	900.0
4.333333	328.0	564.0	892.0
4.5	571.0	899.0	1,470.0
4.666667	365.0	687.0	1,052.0
4.833333	274.0	511.0	785.0
5	1,520.0	2,748.0	4,268.0
Total	4,850.0	8,566.0	13,416.0

